Primary ID,Number,Metabolite,Super Class,Class,Sub_Class,VIP 1,VIP 2
LivPos_C0595,931,PC(38:5)_2,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,1.24361,1.62777
LivNeg_C061,250,"3a,7a,12a,19-Tetrahydroxy-5b-cholanoic acid_2",Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",1.24195,1.63926
LivPos_C0528,546,L-Kynurenine,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,1.24036,1.33728
LivPos_C0246,226,GlcCer(41:1),Lipids and lipid-like molecules,Sphingolipids,Glycosphingolipids,1.2386,1.95056
LivNeg_C356,658,N-tricosanoyl-D-galactosylsphingosine,Lipids and lipid-like molecules,Sphingolipids,Glycosphingolipids,1.23652,1.60587
LivNeg_C791,54,LysoPE(20:3),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,1.22887,1.61493
LivPos_C0068,993,Hexacosanoylamino-dihydroxynonadecyl-galactitol,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,1.22238,1.74829
LivPos_C1047,1222,N-Tetracosenoyl-4-sphingenine_1,Lipids and lipid-like molecules,Sphingolipids,Ceramides,1.22197,1.5033
LivPos_C1791,311,SM(38:1),Lipids and lipid-like molecules,Sphingolipids,Phosphosphingolipids,1.21802,1.48045
LivNeg_C002,1274,LysoPC(18:2)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,1.21671,2.03845
LivPos_C1236,719,Phthioceranic acid (C43),Lipids and lipid-like molecules,Prenol lipids,Sesterterpenoids,1.21461,1.61228
LivPos_C0821,765,Palmitoyl-docosahexaenoyl-sn-glycero-3-phosphocholine,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,1.21033,1.55289
LivPos_C0500,11,PI(36:3)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols,1.20203,1.61585
LivPos_C1846,1218,isovaleryl diethylamide,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,1.20095,1.86079
LivNeg_C710,357,PG(38:3)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols,1.19488,2.02451
LivNeg_C142,1027,retaspimycin hydrochloride,Phenylpropanoids and polyketides,Macrolactams,NA,1.19289,1.70112
LivGC_C050,47,Glycine,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",1.19157,1.91951
LivPos_C0108,461,PE(42:7)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,1.18361,0.876354
LivPos_C0894,116,Cer(42:2)_2,Lipids and lipid-like molecules,Sphingolipids,Ceramides,1.18219,1.62903
LivPos_C0879,589,PE(38:0)_2,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,1.18155,1.70364
LivNeg_C711,1196,3-O-Sulfogalactosylceramide (42:1),Lipids and lipid-like molecules,Sphingolipids,Glycosphingolipids,1.1801,1.68166
LivGC_C011,591,Glycerol-3-phosphate_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphates,1.17745,1.04373
LivGC_C057,291,Mannitol,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,1.17693,2.06416
LivNeg_C368,1255,Undecaprenyl phosphate,Lipids and lipid-like molecules,Prenol lipids,Polyprenols,1.17596,1.29337
LivGC_C087,231,Indoleacetic acid,Organoheterocyclic compounds,Indoles and derivatives,Indolyl carboxylic acids and derivatives,1.17273,1.25041
LivPos_C1773,1148,PC(40:5)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,1.16979,1.81848
LivNeg_C753,880,acetylenedicarboxylate_2,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,1.16475,1.51139
LivNeg_C823,222,Cytonic acid B,Phenylpropanoids and polyketides,Depsides and depsidones,NA,1.15851,1.65273
LivNeg_C191,1134,Oleic acid_2,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,1.15078,1.62961
LivPos_C0240,710,7-Hydroxychromanone,Phenylpropanoids and polyketides,"3,4-dihydrocoumarins",NA,1.15039,1.54827
LivNeg_C207,1267,PS(40:6)_3,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,1.14434,1.02113
LivPos_C0005,682,alpha linolenic acid,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,1.14283,1.20649
LivPos_C1233,27,Cholesteryl ester_1,Lipids and lipid-like molecules,Steroids and steroid derivatives,Steroid esters,1.1359,1.5629
LivPos_C0436,396,"Rescinnamidine;2',3'-Dihydrorescinnamine__1",Alkaloids and derivatives,Yohimbine alkaloids,NA,1.13487,1.62413
LivPos_C0259,950,Cer(36:1)_1,Lipids and lipid-like molecules,Sphingolipids,Ceramides,1.13359,1.40704
LivGC_C060,403,Ornithine,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",1.13095,1.9092
LivNeg_C380,734,PE(40:7),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,1.12925,1.26593
LivNeg_C009,995,LysoPC(16:0)_1,Lipids and lipid-like molecule,Glycerophospholipid,Glycerophosphocholines,1.12618,1.79594
LivPos_C0022,1247,prostaglandin_2,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,1.12486,1.61195
LivNeg_C539,898,PI(38:4)_3,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols,1.12387,1.43057
LivPos_C0231,801,PC(36:4)_4,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,1.12211,0.919783
LivPos_C1038,721,DG(40:1),Lipids and lipid-like molecules,Glycerolipids,Diradylglycerols,1.12171,1.55762
LivNeg_C306,606,PS(38:3)_3,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,1.12123,1.14543
LivPos_C0551,615,thymopentin,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",1.11797,1.69296
LivPos_C0756,486,PS(40:8),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,1.11721,1.40615
LivPos_C1369,399,PC(36:4)_2,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,1.11631,1.86422
LivNeg_C626,295,Hydroperoxylinoleic acid,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,1.11466,1.46795
LivPos_C0482,805,PE(40:2)_2,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,1.1144,1.73737
LivPos_C0698,179,PA(41:3),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphates,1.11383,0.993387
LivNeg_C745,7,PE(42:6)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,1.10717,1.14482
LivNeg_C682,831,PI(38:3)_2,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols,1.10284,1.26847
LivNeg_C372,946,Canrenone,Lipids and lipid-like molecules,Steroids and steroid derivatives,Steroid lactones,1.09618,1.17293
LivNeg_C001,191,LysoPE(16:0)_2,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,1.09098,1.87473
LivNeg_C538,388,PI(38:4)_4,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols,1.0905,1.50022
LivNeg_C162,709,PC(40:9),Lipids and lipid-like molecule,Glycerophospholipid,Glycerophosphocholines,1.08979,1.07199
LivPos_C0765,802,DG(36:1)_1,Lipids and lipid-like molecules,Glycerolipids,Diradylglycerols,1.08728,1.97846
LivGC_C138,246,"Glutamine, DL-",Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",1.08545,1.64579
LivNeg_C200,746,Mniopetal A,Organoheterocyclic compounds,Naphthofurans,NA,1.08295,0.900878
LivPos_C0449,763,PE(40:6)_3,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,1.08161,0.830078
LivNeg_C576,129,Chondramide A,rganic acids and derivatives,Peptidomimetics,Hybrid peptides,1.07989,1.7784
LivNeg_C503,344,Phenethyl rutinoside,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,1.07736,1.21049
LivPos_C0496,559,Cer(36:1)_2,Lipids and lipid-like molecules,Sphingolipids,Ceramides,1.07488,1.83663
LivNeg_C681,1191,PI(38:4)_5,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols,1.07484,1.27811
LivPos_C0183,103,DG(43:1),Lipids and lipid-like molecules,Glycerolipids,Diradylglycerols,1.07151,1.9023
LivNeg_C440,391,PG(40:5),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols,1.06576,1.90138
LivNeg_C125,772,PI(40:4),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols,1.06531,1.00573
LivPos_C0613,482,DG(30:0),Lipids and lipid-like molecules,Glycerolipids,Diradylglycerols,1.06382,1.68402
LivPos_C0021,95,sn-glucero-3-phosphoethanolamine_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,1.06332,2.03441
LivPos_C1009,996,Oleoyl-2-hydroxy-sn-glycero-3-phosphocholine,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,1.06092,1.61763
LivNeg_C022,814,PE(38:5)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,1.05806,1.53711
LivPos_C0755,1062,Arachidonoyl amide,Organic acids and derivatives,Carboximidic acids and derivatives,Carboximidic acids,1.05675,1.62294
LivPos_C0378,181,PE(40:4)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,1.05521,1.06176
LivPos_C0582,1123,Amino-tridecanoic acid,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,1.05116,1.25552
LivNeg_C130,1014,Isoacitretin,Lipids and lipid-like molecules,Prenol lipids,Retinoids,1.04934,1.6401
LivPos_C1006,750,Cer(42:0)_2,Lipids and lipid-like molecules,Sphingolipids,Ceramides,1.04846,1.57405
LivNeg_C007,89,PE(38:6),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,1.0435,1.37373
LivNeg_C174,870,PC(15:1),Lipids and lipid-like molecule,Glycerophospholipid,Glycerophosphocholines,1.04237,1.42473
LivPos_C0226,504,CL(76:1),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerophosphoglycerols,1.04133,1.98767
LivNeg_C225,1112,PS(38:4)_2,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,1.03923,1.45556
LivPos_C1152,1065,PE(40:6)_2,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,1.03866,1.48989
LivPos_C0098,921,Dipalmitin_2,Lipids and lipid-like molecules,Glycerolipids,Diradylglycerols,1.03784,1.62396
LivPos_C0457,197,PC(38:5)_3,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,1.03628,1.78288
LivPos_C0134,929,PC(35:0)_1,Lipids and lipid-like molecule,Glycerophospholipid,Glycerophosphocholines,1.03537,1.88394
LivGC_C244,281,"Glutaric acid, 2-hydroxy-",Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",1.03212,1.64531
LivNeg_C684,467,PI(38:3)_3,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols,1.03169,1.22047
LivPos_C0568,1176,PE(40:5)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,1.02882,1.15962
LivNeg_C408,471,Taurolithocholic acid 3-sulfate,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",1.02852,1.85565
LivPos_C0697,328,Tetracosanoic acid_2,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,1.02839,1.63426
LivPos_C0283,419,PC(37:0)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,1.02819,1.35002
LivPos_C0470,1004,Calactin,Lipids and lipid-like molecules,Steroids and steroid derivatives,Steroid lactones,1.0267,1.67292
LivNeg_C418,876,7-Ketodeoxycholic acid,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",1.02365,1.43381
LivPos_C0487,1089,Cer(40:1)_1,Lipids and lipid-like molecules,Sphingolipids,Ceramides,1.02111,1.62656
LivPos_C0456,473,PC(34:1)_2,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,1.02089,1.5303
LivPos_C1071,149,PI(38:4)_8,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols,1.01884,1.84212
LivNeg_C107,1177,PI(38:4)_6,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols,1.01882,1.21559
LivPos_C0884,78,PC(38:0),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,1.01749,2.00772
LivPos_C0444,495,PI(42:2)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols,1.01219,1.53392
LivPos_C0679,739,PS(38:3)_4,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,1.01214,1.83854
LivPos_C0463,359,Palmitoleyl linoleate,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,1.00957,0.993076
LivPos_C0588,1250,PC(18:2)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,1.00909,1.86416
LivNeg_C515,777,LysoPE(22:5)_2,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,1.00873,2.06686
LivNeg_C039,376,Docosahexaenoic acid_1,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,1.00669,1.80423
LivNeg_C076,1249,Cer(38:1)_2,Lipids and lipid-like molecules,Sphingolipids,Ceramides,1.00625,2.20163
LivPos_C0760,978,PI(34:3),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols,1.00528,1.60887
LivNeg_C024,411,PC(38:3)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,1.00366,0.984138
LivPos_C0655,293,Ubiquinol_5,Lipids and lipid-like molecules,Prenol lipids,Quinone and hydroquinone lipids,1.00203,1.12841
LivNeg_C105,919,LysoPC(18:0)_1,Lipids and lipid-like molecule,Glycerophospholipid,Glycerophosphocholines,0.999341,2.03153
LivGC_C053,627,Glycerol-3-phosphate_2,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphates,0.99733,1.11313
LivNeg_C821,82,Nonadeca-10(Z)-enoic acid,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,0.997133,1.86718
LivPos_C0494,433,PC(40:2)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,0.992764,1.23436
LivPos_C1430,584,LysoPE(18:0)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,0.992123,1.62765
LivNeg_C533,1198,PS(22:6)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,0.991151,1.10402
LivNeg_C664,379,PI(38:4)_7,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols,0.990889,1.26793
LivNeg_C702,190,PG(42:8),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols,0.990377,2.00574
LivPos_C1305,120,GlcCer(41:2)_2,Lipids and lipid-like molecules,Sphingolipids,Glycosphingolipids,0.98893,1.62419
LivNeg_C100,530,Hydroquinidine_1,Alkaloids and derivatives,Cinchona alkaloids,,0.98297,1.66757
LivNeg_C069,128,LysoPC(20:3)_3,Lipids and lipid-like molecule,Glycerophospholipid,Glycerophosphocholines,0.98297,0.805866
LivNeg_C400,453,4-Isopropylbenzoic acid,Lipids and lipid-like molecules,Prenol lipids,Prenol lipids,0.981848,2.31817
LivNeg_C402,522,LysoPC(16:1),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,0.979786,1.73234
LivNeg_C027,680,PE(38:3)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,0.978228,0.88557
LivNeg_C390,580,Eicosatrienoic acid_3,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,0.975634,1.28248
LivNeg_C271,39,PS(37:1)_2,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,0.971731,0.969041
LivNeg_C228,742,PI(40:6)_2,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols,0.968399,1.45979
LivNeg_C335,928,norsesterterpene,,,,0.965448,1.3446
LivPos_C0332,796,CE(18:1),Lipids and lipid-like molecules,Steroids and steroid derivatives,Steroid esters,0.964052,1.5151
LivPos_C0834,1246,PC(34:2)_3,Lipids and lipid-like molecule,Glycerophospholipid,Glycerophosphocholines,0.963703,0.621291
LivNeg_C805,1149,Dihydroxy-cholanoic acid_1,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",0.960412,2.05937
LivPos_C0389,155,DG(36:1)_2,Lipids and lipid-like molecules,Glycerolipids,Diradylglycerols,0.960298,1.13766
LivPos_C0251,83,Glc-Stigmasterol(22:0),Lipids and lipid-like molecules,Steroids and steroid derivatives,Stigmastanes and derivatives,0.959121,1.2084
LivNeg_C692,441,PS(39:3)_2,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,0.958326,1.42122
LivPos_C0773,204,GlcCer(42:1)_2,Lipids and lipid-like molecules,Sphingolipids,Glycosphingolipids,0.957798,1.52552
LivNeg_C708,1146,PI(38:2),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols,0.956944,1.11918
LivGC_C003,725,Maltotriose,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,0.95671,1.53972
LivNeg_C077,1130,PE(36:2)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,0.955269,1.20996
LivPos_C0348,1,Dipalmitoyl-sn-glycero-3-phosphoethanolamine_2,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,0.954252,1.01561
LivNeg_C095,970,PS(42:3),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,0.953731,1.02675
LivNeg_C635,383,Hexadecanedioic acid,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,0.953186,1.41352
LivPos_C0462,824,PC(36:4)_3,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,0.947571,1.26333
LivPos_C0724,160,Epostatin,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",0.945462,1.76442
LivNeg_C156,288,Glucosylceramide (42:2),Lipids and lipid-like molecules,Sphingolipids,Glycosphingolipids,0.942045,1.40029
LivPos_C0628,855,DG(36:2)_1,Lipids and lipid-like molecules,Glycerolipids,Diradylglycerols,0.941702,1.3779
LivPos_C1021,1022,PC(13:0),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,0.940781,1.61347
LivPos_C1050,540,Cer(16:2),Lipids and lipid-like molecules,Sphingolipids,Ceramides,0.938436,1.59529
LivPos_C0586,839,LysoPC(20:3)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,0.937327,1.48915
LivPos_C0838,202,PE(38:2)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,0.936456,0.914902
LivPos_C0016,688,Cholesteryl ester_2,Lipids and lipid-like molecules,Steroids and steroid derivatives,Steroid esters,0.936036,1.80436
LivPos_C0008,194,palmitoglycine,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",0.935596,1.61946
LivPos_C0075,451,DG(18:2),Lipids and lipid-like molecules,Glycerolipids,Diradylglycerols,0.933667,1.00634
LivNeg_C215,660,PC(34:1)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,0.932786,0.916324
LivPos_C0706,1117,PS(34:0),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,0.931686,1.10836
LivPos_C0967,406,PC(32:1)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,0.931448,1.30904
LivPos_C1244,775,CE(20:3),Lipids and lipid-like molecules,Steroids and steroid derivatives,Steroid esters,0.930236,1.01155
LivPos_C0155,847,PE-Cer(32:3),Organic acids and derivatives,Organic phosphoric acids and derivatives,hosphate esters,0.927583,2.13718
LivPos_C0102,941,N-hexacosanoylsphinganine-1-phosphocholine,Lipids and lipid-like molecules,Sphingolipids,Phosphosphingolipids,0.926916,1.85985
LivNeg_C284,892,PG(36:2)_2,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols,0.926282,1.77782
LivPos_C0885,358,GlcCer(33:2),Lipids and lipid-like molecules,Sphingolipids,Glycosphingolipids,0.925539,1.47582
LivPos_C1222,1262,prostaglandin_4,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,0.924868,2.12686
LivNeg_C675,389,PI(38:4)_9,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols,0.92467,1.58087
LivNeg_C683,444,PI(38:4)_10,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols,0.921867,1.11102
LivPos_C1701,507,Diamino-4-hydroxy-5-N-methylformamidopyrimidine_2,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,0.920557,1.12242
LivPos_C1479,1114,N-Lignoceroylsphingosine_1,Lipids and lipid-like molecules,Sphingolipids,Ceramides,0.91718,1.99645
LivPos_C1763,706,PE(34:1)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,0.916822,1.01602
LivPos_C0495,1182,Cer(38:2),Lipids and lipid-like molecules,Sphingolipids,Ceramides,0.912167,1.26601
LivNeg_C258,531,Eicosapentaenoic acid_1,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,0.911668,1.61312
LivPos_C0510,1101,2-stearoylglycerol,Lipids and lipid-like molecules,Glycerolipids,Monoradylglycerols,0.908453,1.82495
LivPos_C0271,41,PS(20:1),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,0.907215,1.41805
LivPos_C0166,232,glycocholic acid,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",0.906495,0.954633
LivNeg_C828,206,Inosine_1,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleosides,0.90267,1.46082
LivNeg_C685,1092,PI(38:4)_11,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols,0.900803,1.33431
LivPos_C0228,256,PC(42:10)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,0.899883,1.85514
LivNeg_C732,808,PC(42:11)_2,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,0.898781,1.81076
LivPos_C0982,455,Eicosapentaenoyl PAF C-16,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,0.89755,1.8241
LivPos_C0169,36,"PS(DiMe(11,5)/DiMe(13,5))",Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,0.896273,1.79076
LivNeg_C593,277,CDP-DG(42:2),Lipids and lipid-like molecules,Glycerophospholipids,CDP-glycerols,0.894339,1.6843
LivNeg_C447,187,PG(40:8),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols,0.891326,1.58299
LivNeg_C347,527,PS(37:0)_2,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,0.891051,0.840079
LivPos_C1475,1052,sn-glycero-3-phosphoserine_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,0.890788,1.66789
LivPos_C0727,901,Oleoyl-arachidonyl-sn-glycerol,Lipids and lipid-like molecules,Glycerolipids,Diradylglycerols,0.889042,1.27081
LivNeg_C371,1170,PA(43:6),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphates,0.888252,1.63673
LivNeg_C230,850,PE(44:6),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,0.88823,0.625817
LivPos_C0562,416,PE(36:0)_2,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,0.887528,0.927527
LivPos_C0475,440,Citroside_1,Lipids and lipid-like molecules,Prenol lipids,Prenol lipids,0.887482,1.25176
LivPos_C0715,586,SM(42:1)_1,Lipids and lipid-like molecules,Sphingolipids,Phosphosphingolipids,0.884492,1.37544
LivGC_C010,917,Erythrose,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,0.882458,1.66367
LivPos_C0196,337,PS(40:0)_2,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,0.88242,1.61216
LivPos_C0634,968,PC(42:0)_2,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,0.878438,1.36668
LivPos_C0480,562,PI(41:6),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols,0.875779,1.65858
LivPos_C1548,98,zymostenol,Lipids and lipid-like molecules,Steroids and steroid derivatives,Cholestane steroids,0.873659,1.31778
LivPos_C0878,161,PC(29:0),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,0.873165,1.00832
LivPos_C0129,949,PE(38:1),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,0.872954,1.39176
LivPos_C0735,251,Ladderane-octanyl-glycerol,Lipids and lipid-like molecules,Glycerolipids,Diradylglycerols,0.87275,1.0239
LivPos_C0527,58,GlcCer(44:1)_1,Lipids and lipid-like molecules,Sphingolipids,Glycosphingolipids,0.871231,1.5614
LivPos_C0580,979,PC(36:1)_2,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,0.869152,0.75498
LivPos_C0337,787,PC(40:2)_2,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,0.868642,1.11554
LivPos_C0856,1054,LysoPC(18:0)_2,Lipids and lipid-like molecule,Glycerophospholipid,Glycerophosphocholines,0.867219,1.35909
LivPos_C0465,487,alpha-aminobutyric acid,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",0.866994,1.73381
LivNeg_C047,249,LysoPE(18:1),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,0.863702,2.05831
LivPos_C0379,195,PC(19:1),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,0.863624,1.07948
LivNeg_C194,717,indole alkaloid,Alkaloids and derivatives,Vinca alkaloids,NA,0.863216,1.05437
LivPos_C0554,702,D-Glucopyranosyl-O-palmitoylglycerol,Lipids and lipid-like molecules,Glycerolipids,Glycosylglycerols,0.860907,1.63434
LivNeg_C153,756,PG(44:12),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols,0.860859,1.67809
LivPos_C0857,592,LysoPC(20:3)_2,Lipids and lipid-like molecule,Glycerophospholipid,Glycerophosphocholines,0.860766,1.45985
LivNeg_C312,1075,PE(44:11),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,0.86073,1.39751
LivNeg_C119,418,LysoPE(22:6)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,0.860263,2.0708
LivNeg_C317,653,MG(18:3)_2,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,0.85774,1.97155
LivPos_C0806,273,"Rescinnamidine;2',3'-Dihydrorescinnamine__2",Alkaloids and derivatives,Yohimbine alkaloids,NA,0.853558,1.62389
LivNeg_C494,237,PS(41:7)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,0.851821,1.17348
